#name	value
uc009oah.2	654453
uc009oai.1	654455
uc009oal.1	53424
uc009oam.1	53424
uc009ves.2	246792
uc009veq.1	81016
uc009ver.1	81017
uc012fyf.1	100039499
uc012ehp.1	545762
uc012ehq.1	100041253
uc009vdc.1	236082
uc008ict.1	108909
uc012bom.1	108909
uc008icu.2	108909
uc008icz.1	21339
uc008ida.1	21339
uc008idb.1	21339
uc008idc.1	21339
uc012boo.1	21339
uc012bop.1	78772
uc008ick.1	68897
uc008icl.1	68897
uc008icm.1	68897
uc008icn.1	68897
uc008ico.1	68897
uc008icp.1	434632
uc008icq.1	71678
uc008icr.1	71678
uc008ics.1	71678
uc012bon.1	338366
uc008icw.1	338366
uc008icx.1	338366
uc008icy.1	338366
uc008dxi.1	20888
uc008dwy.2	72536
uc007rzq.1	72465
uc007rzt.1	72465
uc007rzn.1	72465
uc007rzo.1	72465
uc007rzp.1	72465
uc007rzr.1	72465
uc007rzs.1	72465
uc007rzu.1	245269
uc011zez.1	245269
uc007sac.1	72465
uc007saf.1	72465
uc007rzz.1	72465
uc007saa.1	72465
uc007sab.1	72465
uc007sad.1	72465
uc007sae.1	72465
uc007sag.1	245269
uc011zfa.1	245269
uc007rzv.1	208715
uc007rzw.1	208715
uc007rzx.1	208715
uc007sah.1	208715
uc007sai.1	208715
uc007saj.1	208715
uc007sal.1	56838
uc009uyw.1	22202
uc009uyx.1	22202
uc009uyy.1	20592
uc009uyz.1	20592
uc009uza.1	20592
uc009uzb.1	20592
uc009uzc.1	20592
uc009uzd.1	26908
uc012hru.1	547210
uc012hrz.1	19657
uc009uzt.2	19657
uc012hsa.1	19657
uc012hsb.1	19657
uc012hsc.1	19657
uc012hsd.1	19657
uc009uyv.2	22767
uc009uze.1	22109
uc009uzf.1	22290
uc009uzg.1	22290
uc012hrt.1	22290
uc009uzh.1	22290
uc009uzi.1	22290
uc009uzj.1	22290
uc009uzm.2	26900
uc009uzn.2	26900
uc009uzo.1	107868
uc009uzp.1	22768
uc012hrv.1	21674
uc012hrw.1	547210
uc009skk.1	668958
uc009skn.1	100042254
uc009sko.1	627264
uc009skq.1	668963
uc009skr.1	100042254
uc009skt.1	434725
uc009sku.1	58242
uc009sky.1	208431
uc009skz.1	208431
uc009sla.2	331374
uc009slc.1	11643
uc009sld.1	11643
uc009slf.2	100270707
uc009slk.2	78185
uc009slm.2	20371
uc009sll.2	20371
uc012heg.1	20371
uc009slo.1	54652
uc009slp.1	54652
uc012heh.1	54652
uc009slq.1	54652
uc012hei.1	54652
uc009slr.2	20977
uc009sls.2	20977
uc009slt.1	54630
uc009slu.1	54630
uc009slv.1	54630
uc009slw.1	54630
uc009sma.1	209416
uc009smb.1	54636
uc009smc.1	54636
uc009smd.1	54636
uc009sme.1	54637
uc012hej.1	735274
uc009smh.2	209446
uc009smi.2	209446
uc009smg.2	209446
uc012hek.1	209446
uc009smj.2	209446
uc009smk.2	209446
uc009sml.2	209446
uc009smp.1	54645
uc009smm.1	54645
uc009smn.1	54645
uc009smq.1	54645
uc009smo.1	54645
uc012hel.1	54645
uc009smr.1	54645
uc009sms.1	16506
uc009smt.1	54644
uc009smx.1	54644
uc009smu.1	54644
uc009smv.1	54644
uc009smy.1	54644
uc009smw.1	54644
uc009smz.1	18715
uc009sna.1	22232
uc009snb.1	22232
uc009snc.1	22232
uc009sne.1	21855
uc009snf.2	30052
uc009snt.1	627782
uc009soe.2	70226
uc009sos.1	209837
uc009sot.1	209837
uc009sou.1	385312
uc012hep.1	387131
uc009sov.1	67985
uc009sox.1	67985
uc009sow.2	387131
uc012heq.1	67985
uc009spf.2	382206
uc009soy.1	67985
uc009spg.1	387586
uc009sph.1	625480
uc009spi.2	102941
uc009spm.1	83457
uc009spn.1	434729
uc009spo.1	236285
uc009spr.1	76383
uc009spq.1	22439
uc009spt.2	547154
uc009spz.1	67334
uc012hes.1	385317
uc009sqa.1	236643
uc009sqb.1	236643
uc009sqk.1	18416
uc009sql.1	21912
uc009sqm.1	21912
uc009sqo.2	68041
uc009sqn.2	68041
uc012hev.1	100042922
uc009sqp.1	547160
uc012hew.1	236663
uc009sqx.2	70495
uc012hex.1	245347
uc009srg.1	22284
uc009srh.1	22284
uc009srj.1	22284
uc009sri.1	22284
uc009srl.2	13205
uc009srm.2	13205
uc012hey.1	13205
uc009srn.1	236690
uc009srs.1	23890
uc009srt.1	23890
uc009sru.1	23890
uc009srv.1	319200
uc009srw.1	385328
uc009sry.1	66742
uc009srz.1	66742
uc009ssa.2	17161
uc009ssi.1	73547
uc009ssj.1	22289
uc009ssk.1	22289
uc009ssl.1	22289
uc009ssm.1	22289
uc009ssn.1	22289
uc009sso.1	22289
uc009sss.1	60322
uc009ssv.1	19889
uc012hfe.1	19889
uc009ssw.1	19889
uc009ssx.1	19889
uc009ssy.1	382207
uc009ssz.1	382207
uc009sta.1	382207
uc009stb.1	382207
uc009std.1	19733
uc009stk.1	236732
uc009stg.2	236732
uc009stf.2	236732
uc009sth.2	236732
uc009sti.2	236732
uc012hff.1	236732
uc009stl.1	22201
uc009stm.2	22201
uc009stn.1	18555
uc009sto.1	18555
uc009stp.2	236733
uc009stq.3	236733
uc009sts.2	11836
uc009stt.2	11836
uc009stv.1	11836
uc009str.1	11836
uc009stu.2	11836
uc009sty.1	21857
uc009stz.1	21857
uc009sug.2	320742
uc009suh.2	320742
uc009sul.1	278203
uc009sup.2	331392
uc009suq.2	11609
uc009sur.2	56774
uc009sus.2	76705
uc009suw.1	72404
uc009sux.1	72404
uc009suy.1	72404
uc012hfi.1	236749
uc009swk.2	100039550
uc009swl.2	100039550
uc009swn.2	100039550
uc009swo.2	100039550
uc009swt.1	668963
uc009swv.2	71847
uc012hfp.1	74851
uc012hfq.1	100040533
uc009sxc.2	100039550
uc012hfs.1	100039550
uc009sxg.2	100039550
uc009sxh.2	100039550
uc009sxi.1	75974
uc009sxj.1	16164
uc009sxk.2	72693
uc009sxl.2	72693
uc009sxm.1	74365
uc009sxn.1	74365
uc009sxo.1	53328
uc009sxq.1	194744
uc009sxr.1	194744
uc012hfu.1	194744
uc009sxs.1	11740
uc009sxv.1	22209
uc012hfw.1	22209
uc009syb.1	245381
uc009syg.2	67050
uc009syj.1	69942
uc009sym.1	75199
uc012hfx.1	75199
uc009syo.2	382209
uc009syp.2	664609
uc009syn.1	100040016
uc009syq.1	100039913
uc012hfy.1	100135653
uc009syr.1	57737
uc009syt.1	100039948
uc012hfz.1	100135654
uc012hga.1	100135654
uc012hgb.1	100135654
uc009syv.1	434759
uc009syw.1	434760
uc012hgc.1	546295
uc009syx.1	664610
uc009syy.1	100040016
uc012hge.1	100135657
uc009sys.1	57737
uc012hgd.1	664610
uc009syz.1	194856
uc009sza.1	434764
uc012hgf.1	621852
uc009szg.1	19202
uc009szh.1	547168
uc009szl.1	434769
uc009szo.2	73614
uc009szp.1	56805
uc009szq.1	56805
uc012hgk.1	100526512
uc009szt.1	67821
uc009szu.1	67821
uc009tae.1	68995
uc009tad.1	68995
uc009taf.1	68995
uc009tah.1	77883
uc009tai.1	78631
uc009taj.1	53623
uc009tak.2	53623
uc012hgn.1	53623
uc012hgo.1	53623
uc009tam.2	53623
uc009tal.2	53623
uc009tan.2	53623
uc009tar.1	11798
uc009tav.2	11798
uc009tas.2	11798
uc009tat.2	11798
uc009tau.2	11798
uc009tay.1	20843
uc009taw.1	20843
uc009tax.1	20843
uc009taz.1	20843
uc009tba.1	20400
uc009tbb.1	20400
uc012hgp.1	20400
uc012hgq.1	236774
uc009tbi.1	68800
uc009tbj.1	73360
uc009tbs.1	320634
uc009tbr.1	320634
uc009tbt.1	320634
uc009tbv.1	170745
uc012hgr.1	170745
uc009tbw.1	74131
uc009tca.1	72554
uc009tcb.1	72554
uc009tcc.1	320376
uc009tci.1	19337
uc009tco.2	20523
uc009tcp.2	20523
uc009tcq.2	20523
uc009tcr.1	20523
uc009tct.1	209003
uc009tdc.1	75404
uc009tdd.1	75404
uc009tde.1	236784
uc009tdr.1	70415
uc012hgx.1	70415
uc012hgy.1	70415
uc009tem.1	434778
uc009ten.1	70998
uc009teo.1	70998
uc009tep.1	70998
uc009teq.1	70998
uc009ter.1	15452
uc009tez.1	73866
uc012hhq.1	73866
uc012hhr.1	73866
uc009tfc.1	69501
uc009tfd.1	72865
uc009tfi.1	75013
uc009tfp.1	100040867
uc009tfq.1	100040867
uc009tfw.2	75140
uc009tfx.2	75140
uc009tfy.1	70691
uc009tgb.2	78619
uc009tgd.2	320237
uc009tge.2	236790
uc009tgf.2	236790
uc009tgg.2	236790
uc009tgh.2	236790
uc009tgk.2	236794
uc009tgl.2	236794
uc009tgm.1	14199
uc009tgn.1	14199
uc009tgo.1	14199
uc012hhw.1	14199
uc009tgu.1	12209
uc009tgv.2	72459
uc009tgx.2	72459
uc009tgw.2	72459
uc009tgy.2	72459
uc009tgz.1	170828
uc012hhx.1	170828
uc009thb.1	21947
uc009thm.2	245423
uc009tho.1	22773
uc009thq.1	22773
uc009thp.1	22773
uc009ths.2	75352
uc009thw.1	14071
uc009tih.2	331424
uc009tii.1	331424
uc012hie.1	320247
uc009tij.1	434784
uc012hif.1	74437
uc009tik.1	74437
uc009tin.2	70696
uc009tiq.2	70062
uc012hig.1	245450
uc009tir.2	245450
uc012hjb.1	382217
uc009tit.1	14265
uc012hjg.1	14265
uc009tiu.1	14265
uc009tiy.1	14265
uc009tiv.1	14265
uc009tiw.1	14265
uc009tix.1	14265
uc012hjh.1	207854
uc012hji.1	207854
uc012hjj.1	207854
uc009tjc.1	14266
uc009tjb.1	14266
uc009tjf.1	68618
uc009tjj.1	628053
uc009tjk.1	333639
uc012hjn.1	333639
uc012hjo.1	333639
uc009tjl.1	333639
uc009tjm.2	17772
uc009tjn.2	17772
uc009tjo.2	17772
uc009tjp.2	17772
uc009tjq.2	17772
uc012hjp.1	17772
uc009tjr.2	17772
uc012hjq.1	17772
uc009tjs.2	17772
uc009tju.1	53332
uc009tjv.1	53332
uc012hjr.1	53332
uc009tjw.1	53332
uc009tjx.1	53332
uc009tjt.1	53332
uc009tjy.1	53332
uc009tkb.1	15354
uc009tkc.1	15354
uc009tkd.1	15354
uc009tke.1	14765
uc012hjs.1	14765
uc009tkf.2	67048
uc009tkg.2	382221
uc012hjt.1	208748
uc009tkh.1	208748
uc009tkj.1	77905
uc009tkk.1	12789
uc009tkl.1	17140
uc009tkq.1	57249
uc009tkr.1	57249
uc009tkv.1	18194
uc012hjy.1	100316779
uc009tkw.2	22673
uc009tkx.2	22673
uc009tla.1	245468
uc009tlf.1	574405
uc012hka.1	627081
uc009tlh.1	574437
uc009tlj.1	27083
uc012hkb.1	27083
uc009tli.2	27083
uc012hkc.1	27083
uc012hkd.1	27083
uc012hke.1	27083
uc009tlk.1	14070
uc009tlp.2	27081
uc009tlq.2	27081
uc009tlr.1	22754
uc009tls.1	22754
uc009tlw.2	12111
uc009tlx.2	12111
uc012hkf.1	12111
uc009tlz.1	320707
uc009tma.1	320707
uc009tmb.1	75590
uc009tmi.1	102857
uc009tmh.2	102857
uc009tmf.2	102857
uc009tmg.2	102857
uc012hkg.1	102857
uc012hkh.1	102857
uc009tmm.1	11666
uc009tmk.1	11666
uc009tml.1	11666
uc009tmn.2	140571
uc009tmo.1	56504
uc009tmr.2	20832
uc009tms.2	20832
uc009tmx.1	12000
uc009tmy.1	12000
uc012hki.1	12000
uc009tmz.1	12000
uc009tnv.1	14539
uc012hkp.1	14539
uc009tnx.1	83553
uc009toa.1	13726
uc009tob.1	13726
uc009toe.1	104368
uc009toc.2	110954
uc009tod.2	110954
uc009toh.2	66826
uc009tog.2	66826
uc012hks.1	66826
uc009toi.2	66826
uc009toj.2	66826
uc009tol.2	54411
uc009tom.2	14567
uc009ton.2	108160
uc012hkt.1	108160
uc009too.1	18846
uc012hku.1	18846
uc009top.1	18846
uc009tpe.2	16151
uc012hkz.1	16151
uc009tpa.2	16151
uc009tpb.2	16151
uc009toz.2	16151
uc012hla.1	16151
uc009tpd.2	16151
uc009tpc.2	16151
uc009tph.1	258393
uc009tpj.1	628518
uc009tpk.1	546325
uc009tpo.2	245474
uc009tpu.2	67391
uc009tpz.1	210766
uc009tqa.2	210766
uc009tpy.2	210766
uc009tqb.2	210766
uc009tqc.1	22327
uc009tqd.1	22327
uc009tql.1	238829
uc009tqn.1	619294
uc012hle.1	619294
uc009tqo.1	21372
uc009tqs.1	628923
uc009tqt.1	71351
uc009tqv.1	546335
uc009tqw.2	74910
uc012hlk.1	70864
uc009tre.2	192216
uc009trg.1	13405
uc009trh.2	13405
uc009trj.1	13405
uc009trm.1	13405
uc009trn.1	13405
uc009trl.1	13405
uc009tro.1	13405
uc009trq.1	13405
uc012hll.1	13405
uc009tri.2	13405
uc009trp.2	13405
uc009trr.2	13405
uc009trs.2	71996
uc009trt.2	66724
uc009trz.2	71398
uc009tsa.2	71398
uc009tsc.1	73495
uc009tsd.1	11614
uc009tsh.1	245509
uc012hls.1	212952
uc012hlt.1	17145
uc009tsi.1	17145
uc012hlu.1	278167
uc009tso.1	546347
uc009tsq.1	11878
uc009tsr.1	11878
uc012hlz.1	629581
uc009tsv.1	236899
uc009tsw.1	236899
uc009tsy.2	385493
uc009tte.1	236904
uc009ttf.1	236904
uc009ttg.1	236904
uc009tth.1	236904
uc012hmc.1	236904
uc012hmd.1	68316
uc009ttm.2	68316
uc009ttl.2	68316
uc012hme.1	68316
uc009tto.1	14853
uc009ttp.1	14853
uc009ttq.1	668166
uc009tua.1	547176
uc009tub.1	547176
uc009tue.1	17698
uc009tuf.1	17698
uc009tug.1	17698
uc012hmk.1	723814
uc009tuh.2	100038363
uc009tum.2	15203
uc009tun.2	15203
uc009tuo.2	15203
uc009tul.2	15203
uc009tuk.2	15203
uc009tup.2	15203
uc009tuq.2	76206
uc009tur.1	245526
uc009tuv.1	11835
uc009tvf.1	77929
uc009tvd.1	77929
uc009tvc.1	77929
uc009tve.1	77929
uc009tvg.2	236920
uc009tvh.1	236920
uc009tvi.1	13641
uc009tvn.1	620592
uc009tvo.1	13607
uc009tvp.1	13607
uc012hmr.1	751534
uc009tvr.1	13607
uc009tvt.1	13607
uc012hmp.1	13607
uc009tvs.1	13607
uc009tvu.1	13607
uc009tvq.1	13607
uc012hmq.1	13607
uc009tvv.1	13607
uc009tvw.1	13607
uc012hms.1	408193
uc009tvy.2	18518
uc009tvz.2	18518
uc012hmt.1	668257
uc009twb.1	245533
uc009twd.2	170735
uc009twh.2	16571
uc012hmu.1	16571
uc009twi.2	71584
uc009twj.2	71584
uc009twk.2	71584
uc009twm.2	53310
uc009twn.2	53310
uc009two.2	53310
uc009twp.2	53310
uc009twq.2	53310
uc009twr.2	53310
uc009twy.1	54601
uc009twz.2	54601
uc009txh.1	59024
uc009txf.1	59024
uc012hmx.1	59024
uc009txe.1	59024
uc009txi.2	245537
uc009txj.2	245537
uc009txk.1	14618
uc009txr.2	53610
uc009txs.2	53610
uc009txt.2	53610
uc009txu.1	26549
uc009txv.2	270627
uc009txw.1	270627
uc009txx.1	270627
uc009txy.1	270627
uc009txz.1	108155
uc009tya.1	108155
uc009tyb.1	108155
uc009tyc.2	108155
uc009tyd.2	108155
uc009tyh.1	100042480
uc012hmz.1	100042480
uc009tyj.1	69713
uc009tyu.2	632708
uc009tyv.1	632708
uc009tyw.1	382233
uc009tyx.1	668357
uc009tyy.1	668357
uc009tzk.1	12592
uc009tzl.2	12212
uc009tzm.2	22127
uc012hnd.1	22097
uc009tzq.2	70252
uc009tzr.1	70252
uc012hne.1	668415
uc012hnh.1	100526513
uc009tzx.1	75064
uc009uai.1	331487
uc009uat.1	67683
uc009uau.1	67683
uc009uav.1	107528
uc009uaz.2	245566
uc009uba.1	80903
uc009ubk.1	66142
uc009ubl.2	11977
uc012hnn.1	11977
uc009ubn.1	279572
uc009ubo.1	18655
uc009ubv.1	331493
uc012hno.1	331493
uc009ubx.2	78134
uc009uby.1	78826
uc009ubz.1	78826
uc009uca.1	78826
uc009ucb.1	78826
uc012hnp.1	213438
uc012hnq.1	213438
uc009ucc.2	213438
uc009uce.2	213439
uc009ucd.2	213439
uc009ucf.2	213439
uc012hnr.1	213439
uc012hns.1	71011
uc012hnu.1	245572
uc009uch.2	245572
uc012hnt.1	245572
uc012hnv.1	213449
uc012hnx.1	69964
uc009ucp.1	69964
uc009uco.1	69964
uc009ucq.1	69964
uc012hny.1	70550
uc009uct.1	56726
uc009ucu.2	622976
uc012hnz.1	634340
uc009ucv.1	18994
uc009ucw.1	67407
uc009udd.1	83556
uc009ude.1	71030
uc009udf.1	68117
uc009udg.1	68117
uc009udh.1	68117
uc009udj.1	67715
uc012hoa.1	67715
uc009udk.1	245595
uc009udl.1	245595
uc012hoc.1	93837
uc009udo.2	93837
uc009udr.2	93837
uc009udt.2	93837
uc009udp.1	93837
uc009udq.1	93837
uc009uds.1	93837
uc009udu.1	237010
uc009udv.1	237010
uc009udw.1	237010
uc009udx.1	237010
uc009udy.1	237009
uc009udz.1	75097
uc009uea.1	382239
uc009vfg.1	100039319
uc009ueb.2	100039551
uc009ued.1	93728
uc009ueg.1	245578
uc009uee.1	245578
uc009uef.1	245578
uc009ueh.1	245578
uc009uei.1	245578
uc009uej.1	245578
uc009uek.1	245578
uc009uem.1	73061
uc009uen.1	73061
uc009uer.1	211208
uc009ues.1	245598
uc012hoe.1	54004
uc012hof.1	54004
uc012hog.1	54004
uc009uet.2	54004
uc009uez.1	64103
uc009ufc.1	68792
uc009ufd.1	68792
uc012hoh.1	108062
uc012hoi.1	100526514
uc009ufi.1	108062
uc009ufj.1	108062
uc009ufk.1	108062
uc009ufp.1	74448
uc009uft.1	67564
uc009ufw.1	102920
uc009ufu.1	102920
uc009ufv.1	102920
uc009ufx.1	102920
uc009ufy.2	13497
uc009ufz.2	13497
uc009uga.2	13497
uc009ugb.2	13497
uc012hoj.1	19982
uc009ugf.2	19982
uc009ugh.1	56258
uc009ugi.1	56258
uc009ugj.2	78248
uc009ugk.2	78248
uc009ugl.2	78248
uc012hol.1	78248
uc009ugm.2	78248
uc009ugo.2	71703
uc009uhd.2	83565
uc012hoo.1	331529
uc012hop.1	331529
uc012hoq.1	331529
uc009uhf.1	100040635
uc009uhk.1	494468
uc009uhl.2	494468
uc009uhm.1	67298
uc009uhr.1	67298
uc009uhn.1	67298
uc009uho.1	67298
uc009uhp.1	67298
uc009uhq.1	67298
uc009uhs.2	245607
uc009uhu.2	245607
uc009uht.2	245607
uc009uhv.1	70237
uc009uhw.1	70237
uc009uhx.1	70237
uc009uhz.2	76976
uc009uhy.1	76219
uc012hot.1	76219
uc009uic.2	406217
uc009uid.1	406217
uc009uih.2	100040972
uc009uij.1	22381
uc009uik.2	12070
uc009uil.2	12070
uc012hov.1	12070
uc009uio.1	245616
uc012how.1	245616
uc009uir.2	594844
uc009uis.2	594844
uc009uit.1	237052
uc009uiy.2	436230
uc009ujc.1	18823
uc009ujd.1	18823
uc012hpb.1	18823
uc009ujf.2	69389
uc009ujk.1	66995
uc009ujl.1	66995
uc009ujm.1	66995
uc009ujq.2	245622
uc009ujt.1	60367
uc009uju.1	60367
uc009ujv.1	60367
uc009ujy.1	27206
uc009ujx.2	27206
uc009ukc.2	245631
uc012hpe.1	245631
uc012hpf.1	245631
uc012hpg.1	245631
uc012hph.1	245631
uc009uke.1	22037
uc009ukg.2	102871
uc009ukh.2	102871
uc012hpi.1	102871
uc009uki.2	66889
uc009ukj.2	245638
uc012hpj.1	245638
uc009ukl.2	12738
uc009ukw.1	331537
uc012hpm.1	100499512
uc009ukx.1	245643
uc009uky.2	19139
uc009uld.1	23947
uc009ule.1	23947
uc009ulh.2	78789
uc012hpn.1	78789
uc009uli.2	78789
uc009ulk.1	666468
uc009uln.2	12830
uc009ulo.2	12830
uc012hpq.1	237082
uc009ulr.2	237082
uc009uls.1	434858
uc009ulx.2	209497
uc009ulz.2	209497
uc009uly.2	209497
uc009uma.2	209497
uc009umd.2	209540
uc009umg.2	18481
uc009umh.2	18481
uc009umi.2	18481
uc012hpt.1	18481
uc012hpu.1	18481
uc012hpv.1	751551
uc009ums.2	67574
uc009umt.2	67574
uc009umu.2	67574
uc012hpw.1	67574
uc009umx.1	100038527
uc009umy.2	619287
uc012hpy.1	100303736
uc012hpz.1	791081
uc012hqa.1	100526529
uc012hqb.1	100526460
uc012hqc.1	100526462
uc009unc.1	15560
uc012hqd.1	723914
uc009und.2	15560
uc009une.2	15560
uc009unl.1	100039890
uc009unm.1	18422
uc009uno.1	100039890
uc009unn.1	18422
uc009unp.1	434864
uc009unq.1	434864
uc009unr.1	100039934
uc009uns.1	100039934
uc009unv.1	100039890
uc009unu.1	18422
uc009unw.1	100034729
uc012hqg.1	434866
uc012hqh.1	434865
uc012hqi.1	434865
uc009unx.1	434865
uc009unz.1	18422
uc009unt.1	434866
uc009uny.1	18422
uc009uoa.1	100039890
uc009uob.1	18422
uc009uoc.1	100039890
uc009uod.1	382243
uc012hqj.1	434869
uc012hqk.1	382244
uc009uoj.1	11656
uc009uok.1	11656
uc009uoo.1	18639
uc009uow.1	14163
uc009upb.1	207375
uc009upc.1	207375
uc009upd.1	320595
uc009upe.1	320595
uc012hqs.1	320595
uc009upf.1	320595
uc012hqt.1	320595
uc009uph.2	320595
uc009upo.1	59026
uc009upj.1	59026
uc009upk.1	59026
uc009upl.1	59026
uc009upm.1	59026
uc009upp.1	59026
uc012hqu.1	387253
uc012hqv.1	723947
uc009upr.1	59026
uc009upt.1	59026
uc009upn.1	59026
uc009upq.1	59026
uc009ups.1	59026
uc009upu.1	15108
uc009upw.1	24061
uc009upx.2	24061
uc009upz.1	245666
uc009upy.1	245666
uc009uqa.1	245666
uc009uqb.1	245666
uc009uqc.2	20591
uc009uqd.2	20591
uc009uqe.2	20591
uc012hqw.1	635396
uc009uqn.1	18241
uc009uqo.1	18241
uc009uqp.2	635253
uc009uqs.2	436240
uc012hqx.1	245670
uc009uqu.1	245671
uc009uqv.1	245671
uc009uqw.1	54609
uc009uqx.1	69361
uc009ura.2	70123
uc009urb.1	278240
uc009urh.1	75185
uc009urs.1	56360
uc009urt.1	56360
uc012hqz.1	74941
uc009usd.1	66106
uc009use.1	66106
uc009usg.1	245683
uc009usj.1	110651
uc009usk.1	110651
uc009usl.1	66235
uc009usp.1	78283
uc009uso.1	78283
uc009usn.1	78283
uc009usq.1	78283
uc009usr.1	382252
uc012hrd.1	382252
uc009usu.1	58194
uc009uss.2	58194
uc012hre.1	58194
uc009ust.2	58194
uc009usv.2	58194
uc012hrf.1	58194
uc009usw.2	58194
uc009usx.2	58194
uc009usy.2	58194
uc009uta.2	58194
uc009usz.2	58194
uc009utb.2	270672
uc009utd.1	237175
uc009ute.1	237175
uc009utf.1	237175
uc009utg.1	237175
uc009uth.1	237175
uc009uti.1	237175
uc009utj.1	237175
uc009utl.2	110094
uc009utm.2	110094
uc009utk.1	110094
uc009utn.2	110094
uc012hrg.1	110094
uc009utq.1	20147
uc009utu.1	107815
uc009utw.1	107815
uc009utz.1	107815
uc009utv.1	107815
uc009utx.1	107815
uc009uty.1	107815
uc009uua.2	24004
uc009uub.2	24004
uc009uuf.2	245688
uc009uug.2	245688
uc009uup.2	55936
uc009uuq.2	55936
uc009uuo.2	55936
uc012hrk.1	55936
uc009uur.2	55936
uc009uuw.1	108012
uc009uux.1	108012
uc009uuy.1	108012
uc009uve.1	57394
uc009uvi.1	70008
uc009uvf.2	70008
uc009uvg.1	70008
uc009uvk.2	69656
uc009uvl.2	69656
uc009uvm.1	14205
uc009uvn.1	18700
uc009uvo.1	18700
uc009uvp.1	18700
uc009uvq.1	68854
uc009uvr.1	68854
uc009uvs.1	69299
uc009uwa.2	237211
uc009uvz.2	237211
uc009uwc.1	237221
uc009uwd.1	237221
uc009uwe.1	237221
uc009uwf.1	237221
uc009uwj.2	14758
uc009uwk.2	14758
uc012hrl.1	14758
uc009uwh.2	14758
uc009uwg.2	14758
uc009uwi.2	14758
uc009uwl.2	14758
uc009uwn.2	14758
uc009uwm.2	14758
uc009uwo.2	14758
uc009uwp.2	14758
uc009uwq.2	14758
uc009uws.1	66226
uc009uwt.1	66226
uc009uxl.1	11856
uc009uxm.1	11856
uc009uxn.1	11856
uc009uxj.1	11856
uc009uxk.1	11856
uc009uxo.1	11856
uc009uxp.1	11856
uc009uxq.1	11856
uc009uyf.1	17318
uc009uyg.1	17318
uc012hrq.1	17318
uc009uyh.1	17318
uc009uyj.1	17318
uc009uyk.1	17318
uc009uxz.1	17318
uc009uyc.1	17318
uc009uyd.1	17318
uc009uya.1	17318
uc009uye.1	17318
uc012hrr.1	17318
uc009skj.1	668958
uc009skl.1	668958
uc012hdv.1	74851
uc009skm.1	668958
uc009skp.1	668964
uc009sks.2	17870
uc009skv.2	102991
uc012hdw.1	102991
uc009skw.1	102954
uc009skx.2	12155
uc009slb.1	209091
uc012hdx.1	209091
uc009sle.2	12728
uc012hdy.1	723974
uc012hdz.1	751560
uc012hea.1	723851
uc012heb.1	387183
